HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-Jun-23,4
02-Jun-23,4
03-Jun-23,2
04-Jun-23,7
05-Jun-23,6
06-Jun-23,4
07-Jun-23,9
08-Jun-23,6
09-Jun-23,10
10-Jun-23,5
11-Jun-23,3
12-Jun-23,4
13-Jun-23,4
14-Jun-23,6
15-Jun-23,2
16-Jun-23,4
17-Jun-23,6
18-Jun-23,2
19-Jun-23,8
20-Jun-23,4
21-Jun-23,1
22-Jun-23,5
23-Jun-23,6
24-Jun-23,3
25-Jun-23,3
26-Jun-23,2
27-Jun-23,1
28-Jun-23,5
29-Jun-23,5
30-Jun-23,2
TOTAL,133,
TOTAL DIRASAKAN,2,

BERDASARKAN MAGNITUDO
M < 3,17, 12.8%,
3 < M < 5,115, 86.5%,
M > 5,1, 0.8%,

BERDASARKAN KEDALAMAN
< 60 Km,93, 69.9%,
60 - 300 Km,40, 30.1%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,73
HALMAHERA BAG. UTARA,13
HALMAHERA BAG. TIMUR,6
HALMAHERA BAG. BARAT,8
HALMAHERA BAG. SELATAN,16
KEP. SULA & TALIABU,1
SULAWESI,6

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
MNI-bmkg2023mhih,2023-06-24,18:36:57,1.47,127.06,107.0,4.7,64 km BaratLaut JAILOLO-MALUT,-
GTO-bmkg2023miad,2023-06-25,3:35:15,2.57,128.33,232.0,4.5,58 km Utara DARUBA-MALUT,-
AAI-bmkg2023mipu,2023-06-25,11:29:23,-1.22,128.09,7.0,3.4,92 km Tenggara LABUHA-MALUT,-
TNT-bmkg2023mjfj,2023-06-25,19:21:27,1.67,126.54,10.0,4.0,123 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023mkfr,2023-06-26,8:39:18,0.56,126.34,10.0,4.5,117 km BaratDaya TERNATE-MALUT,-
MNI-bmkg2023mkjj,2023-06-26,10:31:27,0.48,126.36,15.0,3.1,117 km BaratDaya TERNATE-MALUT,-
TNT-bmkg2023mlrl,2023-06-27,3:43:51,-0.66,127.86,9.0,2.2,40 km Timur LABUHA-MALUT,-
MNI-bmkg2023mnza,2023-06-28,9:50:06,0.39,126.35,24.0,3.1,121 km BaratDaya TERNATE-MALUT,-
MNI-bmkg2023mofz,2023-06-28,13:21:56,1.86,127.22,90.0,4.5,87 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023mogo,2023-06-28,13:39:10,3.38,126.73,10.0,4.1,70 km Selatan MELONGUANE-SULUT,-
MNI-bmkg2023mota,2023-06-28,19:57:19,0.57,126.35,10.0,3.5,115 km BaratDaya TERNATE-MALUT,-
TNT-bmkg2023mozh,2023-06-28,23:06:01,2.08,127.87,6.0,3.1,41 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023mpfg,2023-06-29,2:06:52,2.15,127.66,10.0,4.2,60 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023mpre,2023-06-29,8:08:58,2.15,126.7,10.0,4.9,148 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023mpzo,2023-06-29,12:22:40,1.27,126.15,29.0,2.9,109 km Tenggara BITUNG-SULUT,-
MNI-bmkg2023mqos,2023-06-29,20:02:03,1.16,128.1,10.0,3.0,57 km BaratLaut MABA-MALUT,-
TNT-bmkg2023mqqb,2023-06-29,20:43:16,1.17,128.1,5.0,2.8,59 km BaratLaut MABA-MALUT,-
MNI-bmkg2023mrou,2023-06-30,9:12:52,0.72,127.95,7.0,3.5,37 km BaratLaut MABA-MALUT,-
MNI-bmkg2023msrf,2023-06-30,23:34:11,1.83,126.79,10.0,3.2,114 km BaratLaut JAILOLO-MALUT,-

